date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:32:08	148/148	---MC-	302	error ('Found')	text/html	date:Thu,%2014%20Mar%202024%2007:01:27%20GMT	https://www.lhdworld.lk/	C:/My%20Web%20Sites/lhd/www.lhdworld.lk/index.html	(from )
12:32:08	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Mar%202024%2007:01:27%20GMT	https://www.lhdworld.lk/robots.txt		(from )
12:32:09	135/135	---M--	302	error ('Found')	text/html	date:Thu,%2014%20Mar%202024%2007:01:27%20GMT	https://www.lhdworld.lk/?AspxAutoDetectCookieSupport=1	C:/My%20Web%20Sites/lhd/www.lhdworld.lk/index9f90.html	(from https://www.lhdworld.lk/)
12:32:09	8681/8681	---M-Z	200	added ('OK')	text/html	date:Thu,%2014%20Mar%202024%2007:01:27%20GMT	https://www.lhdworld.lk/Secure/Login.aspx	C:/My%20Web%20Sites/lhd/www.lhdworld.lk/Secure/Login.html	(from https://www.lhdworld.lk/?AspxAutoDetectCookieSupport=1)
12:32:09	1687/1687	---M-Z	200	added ('OK')	text/css	etag:%228ef7483a2d27d81:0%22	https://www.lhdworld.lk/CSS/Login.css	C:/My%20Web%20Sites/lhd/www.lhdworld.lk/CSS/Login.css	(from https://www.lhdworld.lk/Secure/Login.aspx)
12:32:10	432/432	---M-Z	200	added ('OK')	application/javascript	etag:%22b6862b51a78d51:0%22	https://www.lhdworld.lk/js/googleanalytics.js	C:/My%20Web%20Sites/lhd/www.lhdworld.lk/js/googleanalytics.js	(from https://www.lhdworld.lk/Secure/Login.aspx)
12:32:10	23063/23063	---M-Z	200	added ('OK')	application/x-javascript	date:Sat,%2026%20Feb%202022%2009:53:22%20GMT	https://www.lhdworld.lk/WebResource.axd?d=DfNp8-NRwRTeQZE2FAfPLd-76JcH7F0NculYDUdeUrGiOwaCAKsh6BX1NPzP66vtZx86Nkh_Mwv4yf2hyyhGJp-0i76l3Ib3DfNyua4NgXc1&t=637814858020000000	C:/My%20Web%20Sites/lhd/www.lhdworld.lk/WebResourcef856.js	(from https://www.lhdworld.lk/Secure/Login.aspx)
12:32:10	3005/3005	---M-Z	200	added ('OK')	application/x-javascript	date:Sat,%2026%20Feb%202022%2009:53:22%20GMT	https://www.lhdworld.lk/WebResource.axd?d=GJpv5UZiWeTXnkr2DRFn885T130KkzUFzeCw0UYLNqnhtEFS3NpdZ1LvR94JVQuujJNJI8W439q7H9V4pozXwCZNMGNOdnnpb9yNZu0BWEE1&t=637814858020000000	C:/My%20Web%20Sites/lhd/www.lhdworld.lk/WebResourceb320.js	(from https://www.lhdworld.lk/Secure/Login.aspx)
12:32:11	37284/37284	---M-Z	200	added ('OK')	text/css	etag:%220cee7941a78d51:0%22	https://www.lhdworld.lk/css_style/jquery-ui.css	C:/My%20Web%20Sites/lhd/www.lhdworld.lk/css_style/jquery-ui.css	(from https://www.lhdworld.lk/Secure/Login.aspx)
12:32:11	48702/48702	---M-Z	200	added ('OK')	text/css	etag:%22808badffb2ad81:0%22	https://www.lhdworld.lk/css_style/style.css	C:/My%20Web%20Sites/lhd/www.lhdworld.lk/css_style/style.css	(from https://www.lhdworld.lk/Secure/Login.aspx)
